iter	RMSE
0	39.32811488
1	36.00143949
2	32.94159624
3	30.65731046
4	28.34563357
5	26.22355684
6	24.17589387
7	22.25154274
8	20.39634205
9	18.73980898
10	17.39001734
11	16.09444845
12	14.91950072
13	13.79621885
14	12.88982083
15	11.92090935
16	11.06225009
17	10.27267931
18	9.633118355
19	8.941899353
20	8.351788056
21	7.840159831
22	7.353388018
23	6.907166378
24	6.482871262
25	6.091438081
26	5.760654328
27	5.421872878
28	5.129248378
29	4.865129756
30	4.590213591
31	4.360653117
32	4.150352142
33	3.955668671
34	3.796615006
35	3.638864923
36	3.491310452
37	3.367972039
38	3.252614182
39	3.15150193
40	3.061880799
41	2.976826627
42	2.898873944
43	2.8383983
44	2.768961767
45	2.714456903
46	2.64654325
47	2.59194588
48	2.547663445
49	2.502878571
50	2.45883876
51	2.416258601
52	2.380453868
53	2.354022357
54	2.328292271
55	2.30304208
56	2.28087138
57	2.257186224
58	2.240601952
59	2.212456414
60	2.185046694
61	2.170744522
62	2.163158081
63	2.129019508
64	2.101305156
65	2.084027879
66	2.067500001
67	2.062570712
68	2.049019679
69	2.045101822
70	2.036360265
71	2.032010296
72	2.020046898
73	2.010437123
74	1.990801524
75	1.976657412
76	1.970565953
77	1.965400814
78	1.951171536
79	1.948272831
80	1.946316523
81	1.936780147
82	1.934740571
83	1.9323906
84	1.93048539
85	1.927821629
86	1.912394065
87	1.900112649
88	1.888454557
89	1.886981825
90	1.885661192
91	1.878979043
92	1.855449731
93	1.841148895
94	1.815974021
95	1.80224235
96	1.785763592
97	1.780930258
98	1.758104707
99	1.739773368
