iter	Passed	Remaining
0	5	511
1	10	500
2	15	490
3	20	492
4	25	480
5	30	473
6	35	466
7	39	451
8	42	427
9	44	403
10	46	379
11	49	360
12	51	344
13	53	326
14	54	311
15	56	297
16	57	283
17	59	270
18	60	258
19	62	248
20	63	239
21	64	229
22	65	220
23	67	212
24	68	204
25	69	197
26	70	191
27	71	184
28	73	179
29	74	173
30	75	168
31	77	164
32	78	159
33	80	155
34	81	151
35	83	147
36	84	143
37	85	139
38	86	135
39	88	132
40	89	128
41	90	125
42	91	121
43	92	118
44	93	114
45	95	111
46	96	108
47	97	105
48	98	103
49	100	100
50	101	97
51	102	94
52	103	91
53	105	89
54	106	87
55	107	84
56	109	82
57	110	79
58	111	77
59	112	75
60	114	72
61	115	70
62	116	68
63	117	66
64	119	64
65	120	61
66	121	59
67	122	57
68	123	55
69	124	53
70	125	51
71	126	49
72	127	47
73	128	45
74	130	43
75	131	41
76	132	39
77	133	37
78	135	35
79	136	34
80	137	32
81	138	30
82	139	28
83	139	26
84	140	24
85	142	23
86	143	21
87	144	19
88	145	17
89	146	16
90	146	14
91	148	12
92	149	11
93	150	9
94	151	7
95	152	6
96	153	4
97	155	3
98	156	1
99	157	0
