iter	Passed	Remaining
0	1	1789
1	3	1753
2	5	1703
3	6	1693
4	8	1656
5	9	1639
6	11	1630
7	13	1616
8	14	1582
9	15	1555
10	16	1520
11	18	1499
12	19	1478
13	20	1463
14	22	1460
15	23	1455
16	24	1440
17	26	1441
18	28	1465
19	29	1451
20	31	1445
21	32	1432
22	33	1424
23	34	1413
24	35	1402
25	37	1394
26	38	1384
27	39	1371
28	40	1366
29	42	1379
30	44	1375
31	45	1369
32	46	1363
33	47	1357
34	48	1349
35	50	1349
36	51	1350
37	53	1347
38	54	1346
39	56	1349
40	58	1362
41	59	1357
42	60	1356
43	62	1350
44	63	1345
45	64	1342
46	66	1340
47	67	1332
48	68	1326
49	69	1323
50	71	1328
51	73	1333
52	74	1330
53	75	1329
54	77	1324
55	78	1323
56	79	1321
57	81	1317
58	82	1312
59	83	1308
60	84	1302
61	86	1302
62	87	1302
63	88	1297
64	89	1292
65	91	1289
66	92	1287
67	93	1283
68	94	1278
69	95	1275
70	97	1270
71	98	1267
72	99	1263
73	100	1259
74	102	1260
75	103	1259
76	104	1257
77	106	1263
78	108	1261
79	109	1258
80	110	1255
81	111	1248
82	112	1245
83	113	1242
84	115	1239
85	116	1238
86	117	1237
87	119	1234
88	120	1231
89	121	1231
90	123	1229
91	124	1226
92	125	1223
93	126	1220
94	127	1217
95	129	1214
96	130	1211
97	131	1212
98	133	1211
99	134	1208
100	135	1206
101	136	1203
102	138	1201
103	139	1199
104	140	1196
105	141	1193
106	142	1190
107	143	1187
108	144	1185
109	146	1184
110	148	1185
111	149	1182
112	150	1179
113	151	1177
114	152	1175
115	154	1173
116	155	1171
117	156	1167
118	157	1164
119	158	1162
120	159	1159
121	160	1156
122	162	1161
123	164	1160
124	165	1159
125	167	1158
126	168	1156
127	169	1153
128	170	1151
129	171	1150
130	173	1148
131	174	1145
132	175	1143
133	176	1141
134	178	1141
135	179	1139
136	180	1139
137	181	1136
138	183	1133
139	184	1131
140	185	1129
141	186	1127
142	187	1124
143	188	1122
144	190	1121
145	191	1121
146	193	1120
147	193	1114
148	194	1112
149	195	1109
150	197	1108
151	198	1106
152	199	1104
153	200	1101
154	201	1099
155	202	1096
156	203	1095
157	205	1092
158	206	1091
159	207	1091
160	209	1089
161	209	1085
162	210	1083
163	211	1079
164	212	1075
165	213	1072
166	214	1067
167	215	1066
168	216	1063
169	216	1059
170	217	1056
171	219	1055
172	220	1054
173	221	1050
174	222	1049
175	223	1047
176	224	1045
177	225	1040
178	226	1038
179	227	1036
180	228	1034
181	229	1032
182	230	1030
183	231	1028
184	233	1027
185	234	1024
186	235	1022
187	236	1022
188	238	1021
189	239	1019
190	240	1017
191	241	1016
192	242	1015
193	243	1013
194	245	1011
195	245	1008
196	246	1004
197	247	1000
198	248	998
199	249	996
200	249	992
201	251	993
202	252	992
203	253	990
204	254	988
205	256	987
206	256	984
207	257	982
208	258	979
209	260	978
210	260	974
211	261	973
212	262	969
213	263	968
214	264	966
215	266	966
216	267	965
217	269	965
218	269	962
219	270	960
220	271	956
221	272	955
222	273	953
223	274	950
224	275	948
225	276	948
226	278	946
227	279	945
228	280	943
229	281	943
230	283	943
231	283	939
232	285	938
233	286	937
234	287	936
235	288	934
236	289	932
237	290	931
238	292	929
239	293	928
240	293	925
241	295	924
242	296	923
243	297	921
244	298	920
245	299	919
246	301	917
247	302	916
248	303	915
249	304	913
250	305	912
251	306	910
252	307	909
253	309	907
254	310	905
255	312	907
256	315	912
257	318	915
258	319	913
259	320	912
260	321	911
261	323	910
262	324	909
263	326	909
264	328	909
265	328	907
266	330	906
267	331	905
268	332	903
269	333	902
270	334	900
271	336	899
272	337	898
273	338	897
274	339	896
275	341	895
276	343	895
277	344	893
278	345	892
279	346	890
280	347	889
281	348	886
282	349	885
283	350	883
284	351	881
285	352	880
286	353	879
287	355	878
288	356	877
289	358	876
290	359	875
291	360	874
292	361	872
293	362	871
294	364	870
295	365	868
296	366	867
297	367	866
298	368	864
299	370	863
300	371	863
301	373	863
302	374	861
303	375	860
304	377	859
305	378	857
306	379	856
307	380	855
308	381	854
309	383	853
310	384	851
311	385	850
312	387	850
313	388	849
314	390	848
315	391	847
316	392	845
317	393	844
318	394	842
319	395	840
320	396	839
321	398	838
322	399	837
323	401	836
324	402	836
325	404	836
326	405	835
327	407	834
328	408	833
329	409	832
330	411	830
331	412	829
332	413	827
333	414	826
334	415	825
335	417	826
336	419	825
337	420	823
338	421	822
339	423	821
340	424	819
341	425	818
342	426	817
343	427	815
344	428	814
345	430	813
346	432	813
347	434	813
348	435	812
349	436	811
350	438	809
351	439	808
352	440	807
353	441	805
354	442	804
355	444	803
356	445	802
357	447	802
358	448	801
359	450	801
360	452	800
361	453	798
362	454	797
363	455	796
364	456	794
365	457	793
366	459	792
367	460	791
368	462	790
369	463	789
370	464	788
371	466	786
372	467	785
373	468	784
374	469	783
375	470	781
376	472	780
377	473	778
378	474	777
379	476	776
380	477	775
381	479	774
382	480	773
383	481	772
384	482	771
385	483	769
386	485	768
387	486	767
388	487	766
389	488	764
390	490	763
391	491	762
392	493	761
393	494	760
394	496	759
395	497	758
396	498	757
397	499	755
398	500	754
399	501	752
400	503	751
401	504	750
402	505	748
403	507	748
404	508	747
405	509	745
406	510	744
407	512	743
408	513	741
409	514	740
410	515	739
411	516	737
412	518	736
413	519	735
414	520	733
415	522	733
416	523	732
417	525	731
418	526	729
419	527	728
420	529	727
421	530	726
422	531	725
423	533	724
424	534	723
425	535	722
426	537	721
427	539	720
428	540	719
429	541	717
430	542	716
431	543	715
432	545	713
433	546	712
434	547	711
435	549	710
436	550	708
437	551	707
438	553	706
439	554	705
440	555	704
441	556	702
442	558	701
443	559	700
444	560	698
445	561	697
446	562	695
447	563	694
448	564	693
449	566	692
450	567	691
451	569	690
452	570	688
453	571	687
454	572	686
455	574	685
456	575	683
457	576	682
458	577	681
459	579	679
460	580	678
461	581	677
462	583	676
463	584	675
464	585	673
465	586	672
466	587	670
467	588	669
468	590	668
469	591	666
470	592	665
471	593	663
472	594	662
473	596	661
474	597	660
475	599	659
476	600	658
477	601	657
478	603	655
479	604	654
480	605	653
481	606	651
482	607	650
483	609	649
484	610	647
485	611	646
486	613	645
487	614	644
488	615	643
489	617	642
490	618	641
491	619	639
492	620	638
493	621	636
494	623	635
495	624	634
496	625	633
497	627	632
498	628	631
499	630	630
500	631	628
501	632	627
502	633	626
503	635	624
504	636	623
505	637	622
506	638	620
507	639	619
508	640	618
509	642	617
510	644	616
511	645	615
512	646	614
513	648	612
514	649	611
515	650	610
516	651	608
517	652	607
518	653	606
519	655	604
520	656	603
521	658	602
522	659	601
523	660	600
524	662	599
525	663	597
526	664	596
527	665	595
528	666	593
529	668	592
530	669	591
531	671	590
532	672	589
533	674	588
534	675	587
535	676	585
536	677	584
537	679	583
538	680	581
539	681	580
540	682	579
541	683	577
542	685	576
543	686	575
544	688	574
545	690	574
546	691	572
547	693	571
548	694	570
549	695	569
550	696	567
551	698	566
552	699	565
553	700	564
554	702	563
555	704	562
556	705	561
557	706	559
558	707	558
559	709	557
560	710	555
561	711	554
562	712	553
563	713	551
564	715	550
565	716	549
566	717	548
567	719	547
568	720	545
569	721	544
570	723	543
571	724	541
572	725	540
573	726	539
574	727	537
575	728	536
576	730	535
577	731	534
578	732	532
579	734	531
580	735	530
581	736	529
582	737	527
583	739	526
584	740	525
585	741	524
586	743	522
587	744	521
588	745	520
589	747	519
590	748	518
591	750	516
592	751	515
593	752	514
594	753	513
595	754	511
596	756	510
597	757	509
598	758	507
599	759	506
600	760	505
601	762	504
602	763	502
603	765	501
604	766	500
605	767	499
606	768	497
607	769	496
608	770	494
609	772	493
610	773	492
611	774	491
612	775	489
613	777	488
614	778	487
615	779	486
616	781	484
617	782	483
618	783	482
619	784	480
620	785	479
621	786	478
622	788	476
623	789	475
624	790	474
625	791	473
626	793	471
627	794	470
628	795	469
629	796	467
630	797	466
631	799	465
632	800	464
633	801	462
634	802	461
635	804	460
636	805	458
637	806	457
638	808	456
639	809	455
640	810	453
641	811	452
642	812	451
643	813	449
644	815	448
645	816	447
646	817	446
647	818	444
648	819	443
649	821	442
650	823	441
651	824	439
652	825	438
653	826	437
654	827	436
655	829	434
656	830	433
657	831	432
658	832	430
659	833	429
660	835	428
661	836	427
662	838	426
663	839	424
664	840	423
665	841	422
666	842	420
667	843	419
668	845	418
669	846	416
670	847	415
671	848	414
672	849	412
673	851	411
674	852	410
675	853	409
676	854	407
677	855	406
678	857	405
679	858	403
680	859	402
681	860	401
682	861	399
683	863	398
684	864	397
685	865	396
686	866	394
687	868	393
688	869	392
689	870	391
690	871	389
691	873	388
692	874	387
693	875	386
694	876	384
695	877	383
696	878	382
697	880	380
698	881	379
699	882	378
700	884	377
701	885	375
702	886	374
703	887	373
704	888	371
705	889	370
706	891	369
707	892	368
708	893	366
709	894	365
710	895	364
711	897	362
712	898	361
713	899	360
714	900	359
715	902	357
716	903	356
717	904	355
718	906	354
719	908	353
720	909	351
721	910	350
722	912	349
723	913	348
724	914	347
725	916	345
726	917	344
727	918	343
728	919	341
729	920	340
730	922	339
731	923	338
732	924	336
733	925	335
734	927	334
735	928	333
736	929	331
737	930	330
738	932	329
739	933	327
740	934	326
741	935	325
742	936	324
743	937	322
744	939	321
745	940	320
746	941	318
747	943	317
748	944	316
749	945	315
750	946	313
751	947	312
752	949	311
753	950	309
754	951	308
755	952	307
756	953	306
757	954	304
758	956	303
759	957	302
760	958	301
761	960	299
762	961	298
763	962	297
764	963	296
765	964	294
766	965	293
767	967	292
768	968	290
769	969	289
770	970	288
771	972	287
772	973	286
773	975	284
774	976	283
775	977	282
776	979	281
777	980	279
778	981	278
779	982	277
780	983	275
781	984	274
782	985	273
783	987	272
784	988	270
785	990	269
786	991	268
787	992	267
788	994	265
789	995	264
790	996	263
791	998	262
792	999	260
793	1000	259
